Experiment,Environment,Condition,WhichSubj,PeakCorr_1,PeakCorr_2,PeakCorr_3,PeakLCI_1,PeakLCI_2,PeakLCI_3,PeakUCI_1,PeakUCI_2,PeakUCI_3,LagAtPeak_1,LagAtPeak_2,LagAtPeak_3,LagLCI_1,LagLCI_2,LagLCI_3,LagUCI_1,LagUCI_2,LagUCI_3,WidthHalfPeak_1,WidthHalfPeak_2,WidthHalfPeak_3,WidthLCI_1,WidthLCI_2,WidthLCI_3,WidthUCI_1,WidthUCI_2,WidthUCI_3,isP,vdist,isRefs
VDIST,Sparse,P&Close,aggVDISTsparse,0.326791651348046,0.265314013743691,0.233230576201001,0.305597607004032,0.24345640767829,0.210541268853009,0.34798569569206,0.287171619809091,0.255919883548992,266.666666666667,277.777777777778,300,257.155461030373,261.041388781372,283.393292208719,276.17787230296,294.514166774184,316.606707791281,143.194190268982,202.435765703677,257.396765636,135.393250578343,181.508273295355,197.7517209211,150.995129959621,223.363258111999,317.041810350901,P,Near,NoRefs
VDIST,Sparse,P&Far,aggVDISTsparse,0.267459896297454,0.207461768955266,0.111205815835112,0.244042354145361,0.187903599419434,0.0936971626753407,0.290877438449547,0.227019938491099,0.128714468994884,266.666666666667,266.666666666667,355.555555555556,258.260938468984,251.774819039936,229.223828469702,275.072394864349,281.558514293397,481.88728264141,150.607448742509,207.596997319961,597.375915458781,138.354123260209,194.38745318668,332.738388574187,162.860774224808,220.806541453241,862.013442343376,P,Far,NoRefs
VDIST,Sparse,NoP&Close,aggVDISTsparse,0.33407516559073,0.267384881021505,0.233277505217723,0.317389503436481,0.253650870012036,0.213490077238866,0.350760827744978,0.281118892030973,0.253064933196581,277.777777777778,288.888888888889,311.111111111111,266.866552712983,259.145354463042,295.865503661392,288.689002842572,318.632423314735,326.35671856083,153.837473764257,223.213056131804,265.163520491014,145.265088628968,186.312904429391,209.85489111433,162.409858899546,260.113207834216,320.472149867699,NoP,Near,NoRefs
VDIST,Sparse,NoP&Far,aggVDISTsparse,0.238907272405908,0.195231057683331,0.11255462866949,0.216998449629134,0.175784095076593,0.0962372950473221,0.260816095182682,0.214678020290068,0.128871962291658,266.666666666667,266.666666666667,477.777777777778,257.354077234004,246.893893819292,352.339542590512,275.979256099329,286.439439514042,603.216012965044,152.63921326987,222.244759493995,600.841326433032,142.27558108665,195.823388354501,301.172928602225,163.00284545309,248.66613063349,900.509724263839,NoP,Far,NoRefs
VDIST,Rich,P&AllRefs&Close,aggVDISTrich,0.357800784724879,0.293193344708403,0.296137614670344,0.33955750513744,0.276384377778687,0.276790126434998,0.376044064312318,0.310002311638119,0.31548510290569,255.555555555556,266.666666666667,266.666666666667,253.487045844591,258.384170800726,258.268283816954,257.62406526652,274.949162532607,275.06504951638,134.093471471387,211.836548201303,187.494683369963,126.336617610929,199.285446883403,173.563633744991,141.850325331845,224.387649519202,201.425732994934,P,Near,AllRefs
VDIST,Rich,P&AllRefs&Far,aggVDISTrich,0.288698143521828,0.243166768422286,0.135815490374423,0.272938229531356,0.225787313995445,0.120250136540693,0.304458057512301,0.260546222849126,0.151380844208152,266.666666666667,255.555555555556,333.333333333333,256.503149496727,249.629436669475,289.787036604327,276.830183836607,261.481674441636,376.87963006234,134.916423879426,191.504986872526,438.006565314803,127.772207541234,180.496592566156,255.649496396254,142.060640217618,202.513381178896,620.363634233352,P,Far,AllRefs
VDIST,Rich,P&JWalls&Close,aggVDISTrich,0.372807460623855,0.28366091167121,0.276349967974204,0.356411023529334,0.267935088670746,0.257405209431592,0.389203897718375,0.299386734671675,0.295294726516816,255.555555555556,277.777777777778,277.777777777778,253.130555268643,259.89715057838,266.005200528976,257.980555842468,295.658404977176,289.55035502658,138.504435946384,220.4265052757,205.215544040762,130.783877835123,203.049859888006,191.5587794997,146.224994057645,237.803150663394,218.872308581824,P,Near,JWalls
VDIST,Rich,P&JWalls&Far,aggVDISTrich,0.296368670629925,0.23892262568694,0.15090389853054,0.277712965623747,0.219094503145106,0.135469453936799,0.315024375636102,0.258750748228774,0.166338343124281,266.666666666667,255.555555555556,311.111111111111,256.728708455071,249.312971347382,275.609333997114,276.604624878262,261.798139763729,346.612888225108,136.989419701847,199.059732246657,261.716429301857,127.685213099132,188.204940932684,36.4387525381693,146.293626304561,209.914523560629,486.994106065544,P,Far,JWalls
VDIST,Rich,NoP&AllRefs&Close,aggVDISTrich,0.362289506436665,0.282264278138226,0.265128736583885,0.345593836788503,0.265010675242195,0.247799433015237,0.378985176084827,0.299517881034256,0.282458040152534,266.666666666667,277.777777777778,277.777777777778,258.729152293121,262.28087535758,263.456789875279,274.604181040212,293.274680197976,292.098765680276,144.637852639023,213.637896308879,213.033614438883,138.175392080253,199.189201771024,185.848402735151,151.100313197793,228.086590846733,240.218826142615,NoP,Near,AllRefs
VDIST,Rich,NoP&AllRefs&Far,aggVDISTrich,0.281250853050536,0.240814970154359,0.133058601841611,0.262339882922988,0.225088361490997,0.11755807439765,0.300161823178083,0.256541578817722,0.148559129285572,266.666666666667,255.555555555556,355.555555555556,261.66656944426,250.860387976526,325.130191000833,271.666763889073,260.250723134585,385.980920110278,147.505518187782,202.950071754557,532.352553128227,139.432481949635,191.960783126183,380.878843669415,155.578554425929,213.939360382932,683.826262587039,NoP,Far,AllRefs
VDIST,Rich,NoP&JWalls&Close,aggVDISTrich,0.358069175830034,0.265699927122106,0.261223103439935,0.339864656723971,0.250257567108607,0.243431254618105,0.376273694936097,0.281142287135605,0.279014952261766,266.666666666667,277.777777777778,288.888888888889,257.55219037659,251.106200251572,276.62426863426,275.781142956743,304.449355303984,301.153509143518,144.308760095104,230.76951958763,213.557950861138,135.912227545269,205.823590883009,195.222207519279,152.705292644939,255.71544829225,231.893694202997,NoP,Near,JWalls
VDIST,Rich,NoP&JWalls&Far,aggVDISTrich,0.294146176076725,0.238604930512174,0.13462619675476,0.275398418923706,0.221227008828097,0.119496098761447,0.312893933229744,0.25598285219625,0.149756294748073,266.666666666667,255.555555555556,322.222222222222,260.990321839169,246.893371397539,293.857996398622,272.343011494164,264.217739713572,350.586448045823,146.993659029922,201.126610372618,321.39184428562,137.677216501741,190.597687277651,68.3267572275826,156.310101558103,211.655533467586,574.456931343658,NoP,Far,JWalls
DISP,Sparse,NoP&Close,aggDISPsparse,0.222137514924763,0.169750186619061,0.174548305948456,0.206552086332925,0.158515129031259,0.161062310309288,0.2377229435166,0.180985244206863,0.188034301587625,277.777777777778,322.222222222222,344.444444444444,266.880584309366,309.540412986655,331.186844139096,288.674971246189,334.904031457789,357.702044749793,167.727139298348,235.565063483606,243.9664805881,155.869486757975,222.744220608051,221.858800158886,179.584791838722,248.385906359161,266.074161017314,NoP,Near,NoRefs
DISP,Sparse,NoP&Far,aggDISPsparse,0.309456128843374,0.25475899001135,0.146349293062016,0.294405158625855,0.241711857844973,0.130858422385838,0.324507099060892,0.267806122177727,0.161840163738194,266.666666666667,266.666666666667,266.666666666667,258.941636625443,258.849600927327,258.98094933395,274.39169670789,274.483732406007,274.352383999384,141.409213854573,193.451876086899,186.622378755966,135.366052284132,181.478068275003,107.550497676171,147.452375425014,205.425683898795,265.694259835761,NoP,Far,NoRefs
DISP,Rich,NoP&AllRefs&Close,aggDISPrich,0.245301809188992,0.172651753283153,0.182253183899299,0.228916523871829,0.157261496817606,0.164533473260462,0.261687094506154,0.188042009748701,0.199972894538135,266.666666666667,322.222222222222,333.333333333333,259.844262933088,283.5638567097,317.301015578687,273.489070400246,360.880587734744,349.36565108798,154.085236948578,240.11807610646,230.195273304879,138.569312272319,180.845078643581,199.540167870009,169.601161624838,299.39107356934,260.850378739749,NoP,Near,AllRefs
DISP,Rich,NoP&AllRefs&Far,aggDISPrich,0.329369886462399,0.262241351180708,0.16017218509053,0.315255406792708,0.247358137739466,0.143972185075397,0.343484366132091,0.277124564621951,0.176372185105662,255.555555555556,255.555555555556,266.666666666667,245.207556487955,248.041739527621,256.891867016459,265.903554623156,263.06937158349,276.441466316874,126.840449171941,178.906214553531,199.375777325602,121.400847510549,164.8280307201,166.146426856888,132.280050833333,192.984398386961,232.605127794315,NoP,Far,AllRefs
DISP,Rich,NoP&JWalls&Close,aggDISPrich,0.245164496558686,0.182959882317164,0.165508662159832,0.229447120429819,0.167212198611895,0.149637160355122,0.260881872687552,0.198707566022434,0.181380163964542,266.666666666667,322.222222222222,322.222222222222,261.986672988291,280.962422480519,303.815573498617,271.346660345043,363.482021963925,340.628870945828,140.263205593378,228.077672384069,233.516571756922,125.151973516323,150.734652666762,194.502745151302,155.374437670433,305.420692101375,272.530398362542,NoP,Near,JWalls
DISP,Rich,NoP&JWalls&Far,aggDISPrich,0.337867565630863,0.263065162000506,0.158293859428106,0.322832304459087,0.247671233610385,0.140956592358779,0.352902826802639,0.278459090390627,0.175631126497433,255.555555555556,255.555555555556,255.555555555556,254.161233453236,254.287322196141,246.470896063231,256.949877657875,256.82378891497,264.64021504788,126.76386572675,194.091211503264,209.132256921399,120.510239878202,176.326149334373,147.42369594139,133.017491575297,211.856273672156,270.840817901407,NoP,Far,JWalls
